,Character,Song,Artist,BPM,Chart Page,Chart Page.1,Chart Page.2,Chart Page.3,Chart Page.4,Unnamed: 9
358,Ilka,Elysian Volitation,Hundotte,190,5,10,14,,,
359,Ilka,History DstrØyeR,溝口ゆうま feat. 大瀬良あい meets まるもこ,170,6,9,15,,,
360,Ilka,Victims of Will,Jun Kuroda,200,3,6,13,14.0,,
361,Ilka,Re:The END -再-,"Apo11o""Æther""program ft.じまんぐ×大瀬良あい",110-150,4,9,15,,,
362,Ilka,IΛVΛVI,Blacklolita,160,3,6,15,,,
363,Ilka,Oneiroi,Freeleaves,165,4,7,13,,,
364,Ilka,Lamentation,ARForest,195,6,10,14,15.0,,
365,Ilka,Samuel's Farewell,Sobrem,135,4,8,13,,,
366,Ilka,Noir,Avans,143,3,7,12,,,
367,Xenon,INSPION,INSPION,148,4,9,13,,,
368,Xenon,Whispers in my Head,AssHoleBand,175-180,2,7,13,,,
369,Xenon,Return,L DERCoLoR,205,3,6,11,,,
370,Xenon,concentric circles,Yichen,190,4,7,12,13.0,,
371,Xenon,Fighting,Claymore,170,2,7,11,,,
372,Xenon,To The Light,FUTURE AFTER A SECOND,130,4,8,12,,,
373,Xenon,Phantom Razor,Daisuke Kurosawa,183,4,8,13,14.0,,
374,Xenon,Black Hole,A-Tse & KIVΛ,135,2,4,10,,,
375,Xenon,SAMURAI,Kobayashi Project,160,4,9,13,,,
376,Xenon,IOLITE-SUNSTONE,Hideyuki Ono x Daisuke Kurosawa,164,3,7,11,,,
377,Xenon,Sairai,Shinichi Kobayashi,95,2,5,10,,,
378,Xenon,Ultimate feat. 放課後のあいつ,やいり,190,3,8,13,,,
379,Xenon,Karma,OBSESS,138,3,7,11,,,
380,Xenon,Chosen,既定印象,170,4,7,13,,,
381,Xenon,Violet,Yohei Kimura,190,2,7,14,,,
382,Xenon,Asylum,Zangief,160,4,7,12,,,
383,Xenon,Tiny Giant Goes To The Sea,Kyo-ta,100,5,8,12,,,
384,ConneR,Xiorc,Team Grimoire+あま猫,160-195,4,10,14,15.0,,
385,ConneR,REBELLIUM,Section9,201,3,9,14,,,
386,ConneR,Imprinting,Sakuzyo,175,4,8,13,15.0,,
387,ConneR,Gekkouka,Masanori Akita,158,4,8,12,,,
388,ConneR,Light of Buenos Aires,Masanori Akita,150,3,7,12,,,
389,ConneR,tondari-hanetari,Yuichi Tsuchiya,174-176,3,8,12,,,
390,ConneR,Abduction,VILA,158,4,8,11,,,
391,ConneR,Nostalgia Sonatina,Ice,160,4,8,13,,,
392,ConneR,I luv U,SQUAR,173,3,7,10,,,
393,ConneR,Instinct,Sakuzyo,180,4,8,12,,,
394,ConneR,Floor of Lava,Ice,180,6,10,15,,,
395,ConneR,Aphasia,Team Grimoire,155,2,7,13,,,
396,ConneR,Olympia,Nardis,160,3,6,12,,,
397,ConneR,Demetrius,James Landino,128,2,6,13,,,
398,ConneR,L'Ultima Cena,Laur,175,4,8,14,,,
399,ConneR,Deus Ex Machina,Powerless,160,4,8,13,,,
400,ConneR,"Fur War, Pur War",N.M.S.T.,150,4,8,15,,,
401,ConneR,Re:boot,Powerless,196,6,9,14,,,
402,ConneR,Last Landing,yuritoworks.,130,3,8,14,,,
403,Cherry,Scenery in your eyes,EAjRock,172,2,6,9,,,
404,Cherry,LEVEL4,空野青空,210,4,7,13,,,
405,Cherry,Living for you (Andy Tunstall remix),Kat Penkin,170,3,7,11,,,
406,Cherry,I'M NOT,nowhere 此時刻,118,2,6,11,,,
407,Cherry,Stop at nothing (Andy Tunstall remix),Kat Penkin,170,2,7,11,,,
408,Cherry,RETRIEVE,MELOIMAGE,180,3,7,12,,,
409,Cherry,Still,Rua feat. K,156,2,6,11,,,
410,Cherry,CREDENCE,MELOIMAGE,204,3,8,12,13.0,,
411,Cherry,SYSTEMFEIT,MELOIMAGE,185,3,7,13,,,
412,Cherry,hunted,Night Keepers feat Sylvia,212,2,6,12,,,
413,Cherry,Capture me,ヒゲドライバー feat. shully,155,2,7,11,,,
414,Cherry,Realize,Persona,181,3,8,12,,,
415,JOE,Childish,KillerBlood,174,4,7,12,,,
416,JOE,Turnstile Jumper,Frums,321,4,7,13,,,
417,JOE,Juicy Gossip,good-cool,190,3,7,11,,,
418,JOE,Standby for Action,3R2,128,4,8,12,,,
419,JOE,Open the Game,Jiro,126,4,6,13,,,
420,JOE,Hydrangea,Tatsh,214,3,6,12,14.0,,
421,JOE,Absolutely,Shi Kuang Lee & Pico,125,2,5,11,,,
422,JOE,Higher and Higher,Jiro,230,3,6,14,,,
423,JOE,Take me to the Future,Haamoja,125,3,7,14,,,
424,JOE,Nautilus,satella,108,2,5,11,,,
425,JOE,Bass Music,Umziky,130,2,8,13,,,
426,Sagar,Amenemhat,Yesod (litmus* + Rabbit House + A. Ki),155,5,8,14,,,
427,Sagar,Elysium,SprightS,140,3,6,12,,,
428,Sagar,Immram Brain,大嶋啓之,116,3,6,13,,,
429,Sagar,Space Alien,SADA 2Futureanthem,104,4,8,14,,,
430,Sagar,Doldrums,Paul Bazooka,130,4,7,14,,,
431,Sagar,Nídhögg,溝口ゆうま feat. 大瀬良あい,113,5,9,14,15.0,,
432,Sagar,Legacy,technoplanet,148,5,7,13,,,
433,Sagar,A Portent of the Silver Wheel,millstones,206,3,7,13,,,
434,Sagar,Sacrifice,TERU FOX,173,3,7,14,,,
435,Sagar,Return of the Lamp,柳田Ethnica,140,4,8,14,,,
436,Rin,The Siege,3R2,166,3,8,13,,,
437,Rin,The Grand Debate,Sherwin,150,3,7,12,,,
438,Rin,三灯火,yuritoworks.,156,4,8,13,,,
439,Rin,「妖怪録、我し来にけり。」,TEZUKApo11o band ft.ランコ(豚乙女)+OFFICE萬田㈱,206,4,8,14,15.0,,
440,Rin,Starry Summoner,アマギセーラ,106,2,5,11,,,
441,Rin,すゝめ☆クノイチの巻,黒沢ダイスケ x mitsu feat. ななひら,120-172,5,9,14,,,
442,Rin,彩,MisoilePunch♪,170,4,9,14,,,
443,Rin,決戦,篤志,155,4,7,13,,,
444,Rin,Mari-Temari,Miki Fujimoto,98,2,6,12,,,
445,Rin,Inari,TERU FOX,128,3,6,10,,,
446,Aroma,change,Tsukasa,132,1,5,9,,,
447,Aroma,No One Can't Stop Me,MK&Kanae Asaba,128,3,5,11,,,
448,Aroma,Spotlight On,林子玹 & 山姆丘 & Xinevsky,200-202,3,6,12,,,
449,Aroma,Bring the light,Night Keepers,112,2,5,9,,,
450,Aroma,Make U Mine,James Landino ft. Jenny,157,3,6,11,,,
451,Aroma,Anzen Na Kusuri,The SxPLAY[菅原紗由理],102,2,6,10,,,
452,Aroma,漂流,THE SxPLAY & KIVΛ,145,4,7,14,,,
453,Aroma,Perspectives,KIVΛ & Nikki Simmons,105,2,5,10,13.0,,
454,Aroma,風の声,Iris x Ruri Matsumura,140,2,4,9,,,
455,Aroma,Neon Escape,Ayy feat. 薛南,125,2,6,10,,,
456,Aroma,Beautiful Lie,MINEXO feat. IMANI,107,3,6,11,,,
457,Nora,Accelerator,DJ Myosuke,190,4,7,14,,,
458,Nora,Dance till Dawn,lixound,155,3,6,11,,,
459,Nora,Uranus,MK,165,3,8,12,,,
460,Nora,Drop the World,RiraN,158,4,8,14,,,
461,Nora,Starlight (KIVΛ Remix),3R2 & KIVΛ,150,2,6,11,,,
462,Nora,Bastard of Hardcore,Dj Grimoire,180,4,7,13,14.0,,
463,Nora,Jakarta PROGRESSION,KURORAK,140,3,8,14,,,
464,Nora,Eternity,Silaver ft.Nathan Brumley,140,3,7,11,,,
465,Nora,Phagy Mutation,Glatteis Infekt,138,2,7,12,,,
466,Nora,ATONEMENT,SIHanatsuka,150,3,6,11,,,
467,Nora,Grand Emotion,Electron,110-150,2,6,13,,,
468,Neko,Chocolate Missile,Alice Schach and the Magic Orchestra,175,2,6,13,14.0,,
469,Neko,I can avoid it.#φωφ,Feryquitous,130,3,7,13,,,
470,Neko,Pink Graduation,KillerBlood,174,3,7,10,,,
471,Neko,一啖兩啖,安達 & Sing Sing Rabbit,118-156,3,7,12,,,
472,Neko,Mammal,提供,190,4,9,14,,,
473,Neko,Blah!!,HiTECH NINJA,165,4,8,14,,,
474,Neko,リラ,Apo11o program ft.moimoi,145-180,4,8,12,,,
475,Neko,Log In,James Landino,210,3,6,13,,,
476,Neko,DJ Mashiro is dead or alive,Ice,190-250,5,9,14,,,
477,Neko,Re:incRnaTiØN ～夕焼ケ世界ノ決別ヲ～,"Apo11o""FILAMENT""program ft. 大瀬良あい×Ritsuka",206,6,9,15,,,
478,Neko,R.I.P.,eicateve,192,5,9,14,,,
